bug_id,title,description,error_code,bug_category,bug_domain,tech_stack,severity,environment,developer_role,root_cause,suggested_fix,explanation,created_at
BUG_000015,Authorization Bug detected in system,This issue relates to a authorization bug occurring in the application.,500.0,Authorization Bug,Mobile,Vue,High,Production,DevOps Engineer,Misconfiguration or logic issue related to authorization bug,Review and fix the authorization bug according to best practices,This bug requires a devops engineer due to its nature.,2025-07-05
BUG_000016,UI Bug detected in system,This issue relates to a ui bug occurring in the application.,500.0,UI Bug,Backend Systems,Kubernetes,Critical,Development,DevOps Engineer,Misconfiguration or logic issue related to ui bug,Review and fix the ui bug according to best practices,This bug requires a devops engineer due to its nature.,2025-10-30
BUG_000017,Memory Leak detected in system,This issue relates to a memory leak occurring in the application.,404.0,Memory Leak,Data,Node.js,Critical,Development,Mobile Developer,Misconfiguration or logic issue related to memory leak,Review and fix the memory leak according to best practices,This bug requires a mobile developer due to its nature.,2025-03-12
BUG_000018,Deployment Bug detected in system,This issue relates to a deployment bug occurring in the application.,,Deployment Bug,Web Development,Laravel,Critical,Production,Frontend Developer,Misconfiguration or logic issue related to deployment bug,Review and fix the deployment bug according to best practices,This bug requires a frontend developer due to its nature.,2025-07-14
BUG_000019,Concurrency Bug detected in system,This issue relates to a concurrency bug occurring in the application.,403.0,Concurrency Bug,Web Development,Spring Boot,Medium,Production,Full-Stack Developer,Misconfiguration or logic issue related to concurrency bug,Review and fix the concurrency bug according to best practices,This bug requires a full-stack developer due to its nature.,2025-07-28
BUG_000020,Logging Bug detected in system,This issue relates to a logging bug occurring in the application.,502.0,Logging Bug,Backend Systems,Flask,Low,Production,Mobile Developer,Misconfiguration or logic issue related to logging bug,Review and fix the logging bug according to best practices,This bug requires a mobile developer due to its nature.,2025-07-10
BUG_000021,CI/CD Bug detected in system,This issue relates to a ci/cd bug occurring in the application.,404.0,CI/CD Bug,Cloud,Laravel,Critical,Development,Backend Developer,Misconfiguration or logic issue related to ci/cd bug,Review and fix the ci/cd bug according to best practices,This bug requires a backend developer due to its nature.,2025-06-09
BUG_000022,Backend Logic Bug detected in system,This issue relates to a backend logic bug occurring in the application.,400.0,Backend Logic Bug,Backend Systems,Docker,Low,Staging,Frontend Developer,Misconfiguration or logic issue related to backend logic bug,Review and fix the backend logic bug according to best practices,This bug requires a frontend developer due to its nature.,2026-01-15
BUG_000023,Cloud Configuration Bug detected in system,This issue relates to a cloud configuration bug occurring in the application.,404.0,Cloud Configuration Bug,Web Development,Django,Low,Staging,Cloud Engineer,Misconfiguration or logic issue related to cloud configuration bug,Review and fix the cloud configuration bug according to best practices,This bug requires a cloud engineer due to its nature.,2025-05-27
BUG_000024,Deployment Bug detected in system,This issue relates to a deployment bug occurring in the application.,400.0,Deployment Bug,Web Development,GCP,Critical,Development,QA Engineer,Misconfiguration or logic issue related to deployment bug,Review and fix the deployment bug according to best practices,This bug requires a qa engineer due to its nature.,2025-03-11
BUG_000025,Backend Logic Bug detected in system,This issue relates to a backend logic bug occurring in the application.,404.0,Backend Logic Bug,Cloud,MongoDB,Critical,Production,DevOps Engineer,Misconfiguration or logic issue related to backend logic bug,Review and fix the backend logic bug according to best practices,This bug requires a devops engineer due to its nature.,2025-08-30
BUG_000026,Database Bug detected in system,This issue relates to a database bug occurring in the application.,404.0,Database Bug,DevOps,Docker,Critical,Staging,Backend Developer,Misconfiguration or logic issue related to database bug,Review and fix the database bug according to best practices,This bug requires a backend developer due to its nature.,2025-08-05
BUG_000027,Authentication Bug detected in system,This issue relates to a authentication bug occurring in the application.,500.0,Authentication Bug,Mobile,GCP,Critical,Staging,Backend Developer,Misconfiguration or logic issue related to authentication bug,Review and fix the authentication bug according to best practices,This bug requires a backend developer due to its nature.,2025-08-12
BUG_000028,Performance Bug detected in system,This issue relates to a performance bug occurring in the application.,400.0,Performance Bug,Backend Systems,MongoDB,High,Production,Security Engineer,Misconfiguration or logic issue related to performance bug,Review and fix the performance bug according to best practices,This bug requires a security engineer due to its nature.,2025-10-24
BUG_000029,Concurrency Bug detected in system,This issue relates to a concurrency bug occurring in the application.,404.0,Concurrency Bug,DevOps,Angular,Low,Staging,Full-Stack Developer,Misconfiguration or logic issue related to concurrency bug,Review and fix the concurrency bug according to best practices,This bug requires a full-stack developer due to its nature.,2025-07-09
BUG_000030,Logging Bug detected in system,This issue relates to a logging bug occurring in the application.,502.0,Logging Bug,Web Development,Node.js,Medium,Development,Security Engineer,Misconfiguration or logic issue related to logging bug,Review and fix the logging bug according to best practices,This bug requires a security engineer due to its nature.,2025-05-25
BUG_000031,Memory Leak detected in system,This issue relates to a memory leak occurring in the application.,401.0,Memory Leak,Backend Systems,React,Medium,Production,Backend Developer,Misconfiguration or logic issue related to memory leak,Review and fix the memory leak according to best practices,This bug requires a backend developer due to its nature.,2025-09-21
BUG_000032,Monitoring Bug detected in system,This issue relates to a monitoring bug occurring in the application.,,Monitoring Bug,Data,Azure,Medium,Development,Data Engineer,Misconfiguration or logic issue related to monitoring bug,Review and fix the monitoring bug according to best practices,This bug requires a data engineer due to its nature.,2025-08-19
BUG_000033,API Bug detected in system,This issue relates to a api bug occurring in the application.,404.0,API Bug,Web Development,Flask,Low,Staging,Mobile Developer,Misconfiguration or logic issue related to api bug,Review and fix the api bug according to best practices,This bug requires a mobile developer due to its nature.,2025-08-19
BUG_000034,Security Vulnerability detected in system,This issue relates to a security vulnerability occurring in the application.,503.0,Security Vulnerability,Mobile,Angular,Medium,Development,Mobile Developer,Misconfiguration or logic issue related to security vulnerability,Review and fix the security vulnerability according to best practices,This bug requires a mobile developer due to its nature.,2025-12-07
BUG_000035,Memory Leak detected in system,This issue relates to a memory leak occurring in the application.,401.0,Memory Leak,Mobile,MongoDB,Critical,Staging,Mobile Developer,Misconfiguration or logic issue related to memory leak,Review and fix the memory leak according to best practices,This bug requires a mobile developer due to its nature.,2025-11-19
BUG_000036,Security Vulnerability detected in system,This issue relates to a security vulnerability occurring in the application.,400.0,Security Vulnerability,DevOps,Spring Boot,Medium,Production,Frontend Developer,Misconfiguration or logic issue related to security vulnerability,Review and fix the security vulnerability according to best practices,This bug requires a frontend developer due to its nature.,2026-01-10
BUG_000037,Monitoring Bug detected in system,This issue relates to a monitoring bug occurring in the application.,503.0,Monitoring Bug,Web Development,Flask,Medium,Development,DevOps Engineer,Misconfiguration or logic issue related to monitoring bug,Review and fix the monitoring bug according to best practices,This bug requires a devops engineer due to its nature.,2025-09-28
BUG_000038,CI/CD Bug detected in system,This issue relates to a ci/cd bug occurring in the application.,403.0,CI/CD Bug,Data,PostgreSQL,Medium,Production,Security Engineer,Misconfiguration or logic issue related to ci/cd bug,Review and fix the ci/cd bug according to best practices,This bug requires a security engineer due to its nature.,2025-08-18
BUG_000039,API Bug detected in system,This issue relates to a api bug occurring in the application.,403.0,API Bug,Backend Systems,Flask,High,Production,DevOps Engineer,Misconfiguration or logic issue related to api bug,Review and fix the api bug according to best practices,This bug requires a devops engineer due to its nature.,2025-10-07
BUG_000040,Frontend Routing Bug detected in system,This issue relates to a frontend routing bug occurring in the application.,502.0,Frontend Routing Bug,Data,Angular,Critical,Development,Frontend Developer,Misconfiguration or logic issue related to frontend routing bug,Review and fix the frontend routing bug according to best practices,This bug requires a frontend developer due to its nature.,2025-03-14
BUG_000041,CI/CD Bug detected in system,This issue relates to a ci/cd bug occurring in the application.,401.0,CI/CD Bug,Data,Docker,High,Staging,Frontend Developer,Misconfiguration or logic issue related to ci/cd bug,Review and fix the ci/cd bug according to best practices,This bug requires a frontend developer due to its nature.,2025-06-25
BUG_000042,Logging Bug detected in system,This issue relates to a logging bug occurring in the application.,400.0,Logging Bug,Web Development,Spring Boot,Critical,Staging,Frontend Developer,Misconfiguration or logic issue related to logging bug,Review and fix the logging bug according to best practices,This bug requires a frontend developer due to its nature.,2025-06-11
BUG_000043,Concurrency Bug detected in system,This issue relates to a concurrency bug occurring in the application.,,Concurrency Bug,Backend Systems,AWS,Medium,Development,Data Engineer,Misconfiguration or logic issue related to concurrency bug,Review and fix the concurrency bug according to best practices,This bug requires a data engineer due to its nature.,2025-02-27
BUG_000044,Logging Bug detected in system,This issue relates to a logging bug occurring in the application.,403.0,Logging Bug,Backend Systems,MongoDB,Medium,Development,Mobile Developer,Misconfiguration or logic issue related to logging bug,Review and fix the logging bug according to best practices,This bug requires a mobile developer due to its nature.,2025-04-13
BUG_000045,Authorization Bug detected in system,This issue relates to a authorization bug occurring in the application.,502.0,Authorization Bug,Web Development,Spring Boot,Medium,Development,Data Engineer,Misconfiguration or logic issue related to authorization bug,Review and fix the authorization bug according to best practices,This bug requires a data engineer due to its nature.,2025-05-20
BUG_000046,Backend Logic Bug detected in system,This issue relates to a backend logic bug occurring in the application.,400.0,Backend Logic Bug,Mobile,Angular,Critical,Staging,QA Engineer,Misconfiguration or logic issue related to backend logic bug,Review and fix the backend logic bug according to best practices,This bug requires a qa engineer due to its nature.,2025-06-03
BUG_000047,Cloud Configuration Bug detected in system,This issue relates to a cloud configuration bug occurring in the application.,400.0,Cloud Configuration Bug,Data,Spring Boot,High,Development,QA Engineer,Misconfiguration or logic issue related to cloud configuration bug,Review and fix the cloud configuration bug according to best practices,This bug requires a qa engineer due to its nature.,2025-03-21
BUG_000048,Deployment Bug detected in system,This issue relates to a deployment bug occurring in the application.,,Deployment Bug,Data,Flask,Low,Production,Full-Stack Developer,Misconfiguration or logic issue related to deployment bug,Review and fix the deployment bug according to best practices,This bug requires a full-stack developer due to its nature.,2025-08-07
BUG_000049,Performance Bug detected in system,This issue relates to a performance bug occurring in the application.,,Performance Bug,Cloud,PostgreSQL,Low,Production,Mobile Developer,Misconfiguration or logic issue related to performance bug,Review and fix the performance bug according to best practices,This bug requires a mobile developer due to its nature.,2025-10-08
BUG_000050,Authentication Bug detected in system,This issue relates to a authentication bug occurring in the application.,401.0,Authentication Bug,Mobile,Azure,Critical,Staging,Security Engineer,Misconfiguration or logic issue related to authentication bug,Review and fix the authentication bug according to best practices,This bug requires a security engineer due to its nature.,2025-11-02
BUG_000051,UI Bug detected in system,This issue relates to a ui bug occurring in the application.,401.0,UI Bug,Cloud,MongoDB,Critical,Development,Frontend Developer,Misconfiguration or logic issue related to ui bug,Review and fix the ui bug according to best practices,This bug requires a frontend developer due to its nature.,2025-02-03
BUG_000052,Memory Leak detected in system,This issue relates to a memory leak occurring in the application.,400.0,Memory Leak,DevOps,MongoDB,Medium,Development,Frontend Developer,Misconfiguration or logic issue related to memory leak,Review and fix the memory leak according to best practices,This bug requires a frontend developer due to its nature.,2025-08-02
BUG_000053,Deployment Bug detected in system,This issue relates to a deployment bug occurring in the application.,,Deployment Bug,Cloud,AWS,Critical,Development,Backend Developer,Misconfiguration or logic issue related to deployment bug,Review and fix the deployment bug according to best practices,This bug requires a backend developer due to its nature.,2025-12-26
BUG_000054,Authentication Bug detected in system,This issue relates to a authentication bug occurring in the application.,404.0,Authentication Bug,DevOps,Django,High,Production,Backend Developer,Misconfiguration or logic issue related to authentication bug,Review and fix the authentication bug according to best practices,This bug requires a backend developer due to its nature.,2025-03-20
BUG_000055,UI Bug detected in system,This issue relates to a ui bug occurring in the application.,,UI Bug,Cloud,Vue,Medium,Development,Full-Stack Developer,Misconfiguration or logic issue related to ui bug,Review and fix the ui bug according to best practices,This bug requires a full-stack developer due to its nature.,2025-07-19
BUG_000056,Deployment Bug detected in system,This issue relates to a deployment bug occurring in the application.,503.0,Deployment Bug,DevOps,Spring Boot,Medium,Staging,Frontend Developer,Misconfiguration or logic issue related to deployment bug,Review and fix the deployment bug according to best practices,This bug requires a frontend developer due to its nature.,2025-07-07
BUG_000057,Logging Bug detected in system,This issue relates to a logging bug occurring in the application.,404.0,Logging Bug,Mobile,MySQL,Critical,Development,Cloud Engineer,Misconfiguration or logic issue related to logging bug,Review and fix the logging bug according to best practices,This bug requires a cloud engineer due to its nature.,2026-01-22
BUG_000058,Cloud Configuration Bug detected in system,This issue relates to a cloud configuration bug occurring in the application.,401.0,Cloud Configuration Bug,Web Development,React,Critical,Staging,Security Engineer,Misconfiguration or logic issue related to cloud configuration bug,Review and fix the cloud configuration bug according to best practices,This bug requires a security engineer due to its nature.,2025-05-07
BUG_000059,Deployment Bug detected in system,This issue relates to a deployment bug occurring in the application.,500.0,Deployment Bug,Mobile,Laravel,Medium,Production,Security Engineer,Misconfiguration or logic issue related to deployment bug,Review and fix the deployment bug according to best practices,This bug requires a security engineer due to its nature.,2025-07-16
BUG_000060,API Bug detected in system,This issue relates to a api bug occurring in the application.,,API Bug,DevOps,Laravel,Critical,Staging,Data Engineer,Misconfiguration or logic issue related to api bug,Review and fix the api bug according to best practices,This bug requires a data engineer due to its nature.,2025-07-06
BUG_000061,Security Vulnerability detected in system,This issue relates to a security vulnerability occurring in the application.,,Security Vulnerability,Data,React,High,Development,QA Engineer,Misconfiguration or logic issue related to security vulnerability,Review and fix the security vulnerability according to best practices,This bug requires a qa engineer due to its nature.,2025-05-16
BUG_000062,Database Bug detected in system,This issue relates to a database bug occurring in the application.,,Database Bug,DevOps,AWS,Low,Development,Security Engineer,Misconfiguration or logic issue related to database bug,Review and fix the database bug according to best practices,This bug requires a security engineer due to its nature.,2025-04-15
BUG_000063,API Bug detected in system,This issue relates to a api bug occurring in the application.,502.0,API Bug,Web Development,Django,Low,Development,Cloud Engineer,Misconfiguration or logic issue related to api bug,Review and fix the api bug according to best practices,This bug requires a cloud engineer due to its nature.,2025-05-23
BUG_000064,Performance Bug detected in system,This issue relates to a performance bug occurring in the application.,,Performance Bug,Backend Systems,Vue,High,Production,Security Engineer,Misconfiguration or logic issue related to performance bug,Review and fix the performance bug according to best practices,This bug requires a security engineer due to its nature.,2026-01-16
BUG_000065,Concurrency Bug detected in system,This issue relates to a concurrency bug occurring in the application.,400.0,Concurrency Bug,Web Development,Spring Boot,High,Development,QA Engineer,Misconfiguration or logic issue related to concurrency bug,Review and fix the concurrency bug according to best practices,This bug requires a qa engineer due to its nature.,2025-02-17
BUG_000066,API Bug detected in system,This issue relates to a api bug occurring in the application.,404.0,API Bug,Backend Systems,React,High,Development,Full-Stack Developer,Misconfiguration or logic issue related to api bug,Review and fix the api bug according to best practices,This bug requires a full-stack developer due to its nature.,2026-01-24
BUG_000067,Authentication Bug detected in system,This issue relates to a authentication bug occurring in the application.,503.0,Authentication Bug,Backend Systems,React,High,Staging,Security Engineer,Misconfiguration or logic issue related to authentication bug,Review and fix the authentication bug according to best practices,This bug requires a security engineer due to its nature.,2025-12-14
BUG_000068,Backend Logic Bug detected in system,This issue relates to a backend logic bug occurring in the application.,502.0,Backend Logic Bug,Mobile,Docker,Low,Production,Security Engineer,Misconfiguration or logic issue related to backend logic bug,Review and fix the backend logic bug according to best practices,This bug requires a security engineer due to its nature.,2025-04-20
BUG_000069,Database Bug detected in system,This issue relates to a database bug occurring in the application.,,Database Bug,Backend Systems,GCP,Medium,Development,Backend Developer,Misconfiguration or logic issue related to database bug,Review and fix the database bug according to best practices,This bug requires a backend developer due to its nature.,2025-05-02
BUG_000070,Deployment Bug detected in system,This issue relates to a deployment bug occurring in the application.,400.0,Deployment Bug,DevOps,AWS,Medium,Development,QA Engineer,Misconfiguration or logic issue related to deployment bug,Review and fix the deployment bug according to best practices,This bug requires a qa engineer due to its nature.,2025-12-23
BUG_000071,Concurrency Bug detected in system,This issue relates to a concurrency bug occurring in the application.,500.0,Concurrency Bug,Data,Flask,Low,Production,Mobile Developer,Misconfiguration or logic issue related to concurrency bug,Review and fix the concurrency bug according to best practices,This bug requires a mobile developer due to its nature.,2025-11-10
BUG_000072,Deployment Bug detected in system,This issue relates to a deployment bug occurring in the application.,404.0,Deployment Bug,Cloud,Laravel,Critical,Development,Backend Developer,Misconfiguration or logic issue related to deployment bug,Review and fix the deployment bug according to best practices,This bug requires a backend developer due to its nature.,2026-01-28
BUG_000073,CI/CD Bug detected in system,This issue relates to a ci/cd bug occurring in the application.,400.0,CI/CD Bug,Data,PostgreSQL,High,Development,QA Engineer,Misconfiguration or logic issue related to ci/cd bug,Review and fix the ci/cd bug according to best practices,This bug requires a qa engineer due to its nature.,2025-05-20
BUG_000074,UI Bug detected in system,This issue relates to a ui bug occurring in the application.,400.0,UI Bug,Web Development,AWS,High,Development,Security Engineer,Misconfiguration or logic issue related to ui bug,Review and fix the ui bug according to best practices,This bug requires a security engineer due to its nature.,2025-06-27
BUG_000075,API Bug detected in system,This issue relates to a api bug occurring in the application.,502.0,API Bug,DevOps,Docker,High,Development,QA Engineer,Misconfiguration or logic issue related to api bug,Review and fix the api bug according to best practices,This bug requires a qa engineer due to its nature.,2025-11-17
BUG_000076,Memory Leak detected in system,This issue relates to a memory leak occurring in the application.,404.0,Memory Leak,DevOps,AWS,Low,Staging,Cloud Engineer,Misconfiguration or logic issue related to memory leak,Review and fix the memory leak according to best practices,This bug requires a cloud engineer due to its nature.,2025-10-19
BUG_000077,Concurrency Bug detected in system,This issue relates to a concurrency bug occurring in the application.,400.0,Concurrency Bug,DevOps,Vue,Critical,Staging,Frontend Developer,Misconfiguration or logic issue related to concurrency bug,Review and fix the concurrency bug according to best practices,This bug requires a frontend developer due to its nature.,2025-05-12
BUG_000078,Frontend Routing Bug detected in system,This issue relates to a frontend routing bug occurring in the application.,500.0,Frontend Routing Bug,DevOps,GCP,Low,Staging,Frontend Developer,Misconfiguration or logic issue related to frontend routing bug,Review and fix the frontend routing bug according to best practices,This bug requires a frontend developer due to its nature.,2025-11-06
BUG_000079,Monitoring Bug detected in system,This issue relates to a monitoring bug occurring in the application.,502.0,Monitoring Bug,DevOps,Docker,Low,Staging,Full-Stack Developer,Misconfiguration or logic issue related to monitoring bug,Review and fix the monitoring bug according to best practices,This bug requires a full-stack developer due to its nature.,2025-02-23
BUG_000080,Monitoring Bug detected in system,This issue relates to a monitoring bug occurring in the application.,500.0,Monitoring Bug,Cloud,MongoDB,Low,Staging,Security Engineer,Misconfiguration or logic issue related to monitoring bug,Review and fix the monitoring bug according to best practices,This bug requires a security engineer due to its nature.,2025-05-01
BUG_000081,Authorization Bug detected in system,This issue relates to a authorization bug occurring in the application.,500.0,Authorization Bug,Mobile,MongoDB,Low,Production,Frontend Developer,Misconfiguration or logic issue related to authorization bug,Review and fix the authorization bug according to best practices,This bug requires a frontend developer due to its nature.,2025-12-31
BUG_000082,Monitoring Bug detected in system,This issue relates to a monitoring bug occurring in the application.,403.0,Monitoring Bug,Web Development,Angular,Critical,Staging,Full-Stack Developer,Misconfiguration or logic issue related to monitoring bug,Review and fix the monitoring bug according to best practices,This bug requires a full-stack developer due to its nature.,2025-06-21
BUG_000083,Database Bug detected in system,This issue relates to a database bug occurring in the application.,403.0,Database Bug,Data,Laravel,Medium,Development,Security Engineer,Misconfiguration or logic issue related to database bug,Review and fix the database bug according to best practices,This bug requires a security engineer due to its nature.,2026-01-04
BUG_000084,UI Bug detected in system,This issue relates to a ui bug occurring in the application.,500.0,UI Bug,DevOps,Azure,Critical,Staging,Security Engineer,Misconfiguration or logic issue related to ui bug,Review and fix the ui bug according to best practices,This bug requires a security engineer due to its nature.,2025-05-15
BUG_000085,Performance Bug detected in system,This issue relates to a performance bug occurring in the application.,,Performance Bug,Backend Systems,Spring Boot,Critical,Production,Full-Stack Developer,Misconfiguration or logic issue related to performance bug,Review and fix the performance bug according to best practices,This bug requires a full-stack developer due to its nature.,2025-05-21
BUG_000086,Backend Logic Bug detected in system,This issue relates to a backend logic bug occurring in the application.,400.0,Backend Logic Bug,DevOps,MongoDB,Low,Production,Full-Stack Developer,Misconfiguration or logic issue related to backend logic bug,Review and fix the backend logic bug according to best practices,This bug requires a full-stack developer due to its nature.,2025-07-19
BUG_000087,Concurrency Bug detected in system,This issue relates to a concurrency bug occurring in the application.,401.0,Concurrency Bug,Web Development,React,Low,Staging,Data Engineer,Misconfiguration or logic issue related to concurrency bug,Review and fix the concurrency bug according to best practices,This bug requires a data engineer due to its nature.,2025-05-09
BUG_000088,Frontend Routing Bug detected in system,This issue relates to a frontend routing bug occurring in the application.,400.0,Frontend Routing Bug,DevOps,Laravel,High,Production,Mobile Developer,Misconfiguration or logic issue related to frontend routing bug,Review and fix the frontend routing bug according to best practices,This bug requires a mobile developer due to its nature.,2025-08-19
BUG_000089,API Bug detected in system,This issue relates to a api bug occurring in the application.,502.0,API Bug,DevOps,Django,High,Development,Backend Developer,Misconfiguration or logic issue related to api bug,Review and fix the api bug according to best practices,This bug requires a backend developer due to its nature.,2026-01-12
BUG_000090,Logging Bug detected in system,This issue relates to a logging bug occurring in the application.,500.0,Logging Bug,Backend Systems,GCP,Medium,Development,Data Engineer,Misconfiguration or logic issue related to logging bug,Review and fix the logging bug according to best practices,This bug requires a data engineer due to its nature.,2025-10-02
BUG_000091,Cloud Configuration Bug detected in system,This issue relates to a cloud configuration bug occurring in the application.,401.0,Cloud Configuration Bug,DevOps,PostgreSQL,Critical,Production,Data Engineer,Misconfiguration or logic issue related to cloud configuration bug,Review and fix the cloud configuration bug according to best practices,This bug requires a data engineer due to its nature.,2025-06-22
BUG_000092,CI/CD Bug detected in system,This issue relates to a ci/cd bug occurring in the application.,502.0,CI/CD Bug,Mobile,Vue,Critical,Development,Security Engineer,Misconfiguration or logic issue related to ci/cd bug,Review and fix the ci/cd bug according to best practices,This bug requires a security engineer due to its nature.,2025-05-16
BUG_000093,Memory Leak detected in system,This issue relates to a memory leak occurring in the application.,404.0,Memory Leak,Cloud,Docker,High,Production,Backend Developer,Misconfiguration or logic issue related to memory leak,Review and fix the memory leak according to best practices,This bug requires a backend developer due to its nature.,2025-05-25
BUG_000094,Frontend Routing Bug detected in system,This issue relates to a frontend routing bug occurring in the application.,500.0,Frontend Routing Bug,Web Development,PostgreSQL,Critical,Development,Mobile Developer,Misconfiguration or logic issue related to frontend routing bug,Review and fix the frontend routing bug according to best practices,This bug requires a mobile developer due to its nature.,2025-06-06
BUG_000095,CI/CD Bug detected in system,This issue relates to a ci/cd bug occurring in the application.,500.0,CI/CD Bug,Web Development,GCP,Low,Production,QA Engineer,Misconfiguration or logic issue related to ci/cd bug,Review and fix the ci/cd bug according to best practices,This bug requires a qa engineer due to its nature.,2025-12-03
BUG_000096,Authorization Bug detected in system,This issue relates to a authorization bug occurring in the application.,400.0,Authorization Bug,Data,MySQL,Medium,Development,Mobile Developer,Misconfiguration or logic issue related to authorization bug,Review and fix the authorization bug according to best practices,This bug requires a mobile developer due to its nature.,2025-02-11
BUG_000097,Frontend Routing Bug detected in system,This issue relates to a frontend routing bug occurring in the application.,502.0,Frontend Routing Bug,Mobile,PostgreSQL,Critical,Development,Data Engineer,Misconfiguration or logic issue related to frontend routing bug,Review and fix the frontend routing bug according to best practices,This bug requires a data engineer due to its nature.,2025-09-25
BUG_000098,Frontend Routing Bug detected in system,This issue relates to a frontend routing bug occurring in the application.,403.0,Frontend Routing Bug,Mobile,PostgreSQL,Medium,Development,DevOps Engineer,Misconfiguration or logic issue related to frontend routing bug,Review and fix the frontend routing bug according to best practices,This bug requires a devops engineer due to its nature.,2025-09-03
BUG_000099,Performance Bug detected in system,This issue relates to a performance bug occurring in the application.,401.0,Performance Bug,Backend Systems,Vue,High,Development,Cloud Engineer,Misconfiguration or logic issue related to performance bug,Review and fix the performance bug according to best practices,This bug requires a cloud engineer due to its nature.,2025-05-01
BUG_000100,Security Vulnerability detected in system,This issue relates to a security vulnerability occurring in the application.,,Security Vulnerability,Mobile,Angular,Low,Staging,Frontend Developer,Misconfiguration or logic issue related to security vulnerability,Review and fix the security vulnerability according to best practices,This bug requires a frontend developer due to its nature.,2025-07-15
