Startup_ID,Company_Name,Industry,One_Line_Pitch,Founding_Year,Headquarters_Location,Funding_Stage,Last_Funding_Amount_USD_Millions,Number_of_Employees,Website,LinkedIn_Profile,Twitter_Handle,CEO_Name,Core_Technology,Market_Size_Billion_USD
15,Allen-Allen,CleanTech,Biodegradable packaging materials with smart tracking.,2023,"North Jessicaland, Senegal",Series C,45.88,392.0,allenallen.tech,https://linkedin.com/company/allen-allen,@allenallen7745,Beth Keller,NLP,50.0
16,"Martin, Rose and Obrien",FinTech,Neobanks delivering tailored financial ecosystems.,2021,"New Karina, Portugal",Private Equity,438.73,,martinroseandobrien.app,https://linkedin.com/company/martin-rose-and-obrien,@martinrosean1613,Eric Carney,Augmented Reality,10.0
17,"Brooks, Lam and Hayes",EdTech,Emotion-aware AI detecting student engagement levels.,2022,"East Caleb, Angola",Series B,,148.0,brookslamandhayes.io,https://linkedin.com/company/brooks-lam-and-hayes,@brookslamand1236,Crystal Robinson,NLP,150.0
18,Zimmerman Inc,Social Media,Micro-communities powered by AI-driven content curation.,2015,"North Rebecca, Tokelau",Pre-Seed,,4.0,zimmermaninc.co,https://linkedin.com/company/zimmerman-inc,@zimmermaninc961,Jose Ramirez,Big Data,30.0
19,Lewis-Anderson,PropTech,Sustainable asset tracking with carbon metrics.,2021,"Sanchezfort, Sri Lanka",IPO,757.45,4286.0,lewisanderson.io,https://linkedin.com/company/lewis-anderson,@lewisanderso3112,Brandon Hopkins,Cybersecurity,70.0
20,Henderson-Owens,AI & Machine Learning,Self-optimizing AI workflows for smarter operations.,2009,"Lake Deniseville, Bahamas",Series D,175.71,361.0,hendersonowens.com,https://linkedin.com/company/henderson-owens,@hendersonowe8321,Gerald Hensley,Virtual Reality,15.0
21,Lee PLC,Mobility,Blockchain ticketing ensuring transparent ride payments.,2015,"Taylorburgh, Fiji",Private Equity,67.88,,leeplc.app,https://linkedin.com/company/lee-plc,@leeplc9563,Shannon Jones,NLP,80.0
22,"Garcia, Pearson and Fernandez",EdTech,Predictive analytics identifying at-risk students early.,2017,"North Sarabury, Chad",Private Equity,468.06,219.0,garciapearsonandfernandez.co,https://linkedin.com/company/garcia-pearson-and-fernandez,@garciapearso9225,John Hancock,Computer Vision,20.0
23,Martin Inc,IoT,Ultra-low power IoT devices for remote monitoring.,2019,"Bakermouth, France",Seed,2.33,11.0,martininc.tech,https://linkedin.com/company/martin-inc,@martininc8667,Tyler Cowan,Blockchain,5.0
24,"Stanley, Tucker and Lee",FinTech,AI-powered liquidity management for institutions.,2011,"North Beth, Mauritius",Series A,15.36,46.0,stanleytuckerandlee.tech,https://linkedin.com/company/stanley-tucker-and-lee,@stanleytucke3451,Erik Williams,Quantum Computing,80.0
25,Shaw-Farrell,Blockchain,Central bank digital currency infrastructure platforms.,2021,"North Susan, Belgium",Pre-Seed,0.11,3.0,shawfarrell.app,https://linkedin.com/company/shaw-farrell,@shawfarrell4292,Andrea Jones,Computer Vision,30.0
26,Powell PLC,AI & Machine Learning,AI in financial forecasting for smarter investments.,2012,"New Brooke, Niger",Seed,4.21,6.0,powellplc.co,https://linkedin.com/company/powell-plc,@powellplc2089,Matthew Cunningham,Machine Learning,10.0
27,Donovan-Harris,Mobility,Fleet electrification guided by data-driven insights.,2015,"Johnfurt, Bulgaria",Series D,138.42,1095.0,donovanharris.co,https://linkedin.com/company/donovan-harris,@donovanharri2533,Elizabeth Stewart,Artificial Intelligence,50.0
28,Smith PLC,IoT,IoT-driven agriculture improving crop yields.,2018,"North Amandahaven, Estonia",Pre-Seed,0.65,4.0,smithplc.ai,https://linkedin.com/company/smith-plc,@smithplc2609,Gregory Jones,IoT,20.0
29,Wood and Sons,EdTech,Automated attendance tracking with facial recognition.,2017,"Bassport, New Zealand",IPO,884.19,1882.0,woodandsons.co,https://linkedin.com/company/wood-and-sons,@woodandsons5379,Dr. Kendra Contreras,Edge Computing,60.0
30,"Evans, Alvarado and Mcmillan",Social Media,Multimodal social experiences powered by generative AI.,2025,"West Darrell, Botswana",Private Equity,62.42,734.0,evansalvaradoandmcmillan.io,https://linkedin.com/company/evans-alvarado-and-mcmillan,@evansalvarad9513,Brittney Campbell,Big Data,60.0
31,Robbins and Sons,PropTech,Space utilization analytics optimizing offices.,2024,"Williamview, United Kingdom",Private Equity,,589.0,robbinsandsons.ai,https://linkedin.com/company/robbins-and-sons,,Amber Walters,Blockchain,120.0
32,Williams-Cook,Food Tech,Smart water usage optimization for agriculture.,2021,"Lake Tina, Central African Republic",Series B,,114.0,williamscook.tech,https://linkedin.com/company/williams-cook,@williamscook5144,Kristen Patterson,Virtual Reality,20.0
33,Rodriguez Ltd,Cybersecurity,Unified SIEM powered by AI log correlation.,2017,"New Barry, Heard Island and McDonald Islands",Private Equity,136.33,976.0,rodriguezltd.app,https://linkedin.com/company/rodriguez-ltd,@rodriguezltd2852,Brittany Anderson,Blockchain,70.0
34,Diaz-Fitzpatrick,EdTech,Education marketplaces democratizing access to courses.,2022,"West Jasonbury, Papua New Guinea",Series D,103.43,1122.0,diazfitzpatrick.app,https://linkedin.com/company/diaz-fitzpatrick,@diazfitzpatr2781,Richard Henson,IoT,15.0
35,Dickson-Brady,FinTech,Central bank digital currency infrastructure solutions.,2017,"Port Francisco, South Georgia and the South Sandwich Islands",Series B,19.96,,dicksonbrady.io,https://linkedin.com/company/dickson-brady,@dicksonbrady7785,Sierra Johnson,Edge Computing,15.0
36,"Middleton, Patton and Jenkins",Food Tech,IoT-driven crop monitoring ensuring pesticide efficiency.,2020,"West Erik, Reunion",Private Equity,345.23,,middletonpattonandjenkins.com,https://linkedin.com/company/middleton-patton-and-jenkins,@middletonpat6966,Shane Garrison,Virtual Reality,50.0
37,Gonzalez Group,AI & Machine Learning,Adaptive learning models that evolve with changing conditions.,2022,"Kevinbury, Czech Republic",Series B,,165.0,gonzalezgroup.tech,https://linkedin.com/company/gonzalez-group,@gonzalezgrou9756,Corey Murphy,Big Data,80.0
38,Rasmussen LLC,Food Tech,AI tools for flavor profiling and ingredient matching.,2025,"Darlenefurt, Philippines",,,82.0,rasmussenllc.app,https://linkedin.com/company/rasmussen-llc,@rasmussenllc7778,Ms. Teresa Wilson,Quantum Computing,150.0
39,White-Estes,PropTech,Solar integration dashboards for green building ops.,2015,"Benjaminchester, Guatemala",,,40.0,whiteestes.app,https://linkedin.com/company/white-estes,@whiteestes4682,Emily Obrien,Cybersecurity,50.0
40,"Wilson, Lam and Lee",HealthTech,Digital twins for simulating biological systems.,2012,"Lake Ryanhaven, Uzbekistan",Series B,13.21,168.0,wilsonlamandlee.co,https://linkedin.com/company/wilson-lam-and-lee,@wilsonlamand6813,Melissa Bentley,Deep Learning,10.0
41,"Lambert, Diaz and Jones",Gaming,AR treasure hunts blending outdoor + digital play.,2020,"Cindyville, Saint Helena",Pre-Seed,1.42,7.0,lambertdiazandjones.co,https://linkedin.com/company/lambert-diaz-and-jones,@lambertdiaza8819,Katie Estrada,Virtual Reality,50.0
42,Powell-Phillips,Cybersecurity,Context-aware access policies powered by ML.,2013,"East Robert, Wallis and Futuna",Private Equity,463.79,1293.0,powellphillips.com,https://linkedin.com/company/powell-phillips,@powellphilli6456,Paul Thompson,Blockchain,5.0
43,"Turner, Kelley and Smith",HealthTech,Digital twins for simulating biological systems.,2018,"Jasonshire, New Caledonia",Series C,69.22,294.0,turnerkelleyandsmith.ai,https://linkedin.com/company/turner-kelley-and-smith,@turnerkelley6907,Julie Ramos,Artificial Intelligence,60.0
44,Dixon Ltd,AI & Machine Learning,Autonomous decision-making frameworks powered by ML.,2010,"Lake Christopher, Malaysia",Series B,42.59,93.0,dixonltd.io,https://linkedin.com/company/dixon-ltd,@dixonltd334,Lisa Davis,Blockchain,25.0
45,Chambers and Sons,EdTech,AI-summarization engines condensing learning material.,2019,"East Andrew, Ecuador",Series C,,482.0,chambersandsons.app,https://linkedin.com/company/chambers-and-sons,@chambersands1877,Miss Patricia Gibson,Cloud Computing,30.0
46,"Johnston, Higgins and Cruz",SaaS,Low-latency APIs optimizing SaaS integrations at scale.,2014,"Sancheztown, Uganda",Private Equity,,1484.0,johnstonhigginsandcruz.io,https://linkedin.com/company/johnston-higgins-and-cruz,@johnstonhigg1670,Patricia Rodriguez,5G,70.0
47,Robinson-Brock,Gaming,Crowdsourced storytelling integrated into game worlds.,2025,"Williamsbury, United States Virgin Islands",Pre-Seed,0.59,6.0,robinsonbrock.com,https://linkedin.com/company/robinson-brock,@robinsonbroc6883,Joyce Solis,Cybersecurity,
48,"Schmidt, Hansen and Stewart",Mobility,High-speed rail optimization with digital twins.,2013,"Salazarhaven, Japan",Series A,19.38,78.0,schmidthansenandstewart.co,https://linkedin.com/company/schmidt-hansen-and-stewart,@schmidthanse7617,Kimberly Merritt,Cloud Computing,120.0
49,"Hensley, Cole and Walton",EdTech,Virtual labs enabling safe skill experimentation.,2022,"Katiehaven, Libyan Arab Jamahiriya",Seed,2.46,14.0,hensleycoleandwalton.ai,https://linkedin.com/company/hensley-cole-and-walton,@hensleycolea471,Denise Jones,Edge Computing,
50,Young-Rogers,PropTech,Climate-resilient design simulated with AI tools.,2016,"East Edwardfurt, Puerto Rico",Series D,179.16,447.0,youngrogers.app,https://linkedin.com/company/young-rogers,@youngrogers6659,Daniel Perry,Computer Vision,
51,Daniels-Perry,Food Tech,Generative AI beverages customized for consumer palettes.,2008,"Port Robert, United Kingdom",IPO,,2293.0,danielsperry.ai,https://linkedin.com/company/daniels-perry,@danielsperry9529,Theresa Smith,Cloud Computing,90.0
52,"James, Smith and Bell",Food Tech,AI-powered demand elasticity pricing for food delivery.,2022,"Castanedachester, Mauritania",Series D,112.85,,jamessmithandbell.io,https://linkedin.com/company/james-smith-and-bell,@jamessmithan5170,Kimberly Morrison,Big Data,20.0
53,Freeman LLC,EdTech,Virtual labs enabling safe skill experimentation.,2024,"Tuckerfurt, Guadeloupe",IPO,982.46,2726.0,freemanllc.io,https://linkedin.com/company/freeman-llc,@freemanllc5913,Rebecca Ramsey,NLP,30.0
54,Calhoun-Hooper,AI & Machine Learning,Multi-modal AI integration for smarter enterprise systems.,2012,"South Brittanytown, Belize",,,252.0,calhounhooper.com,https://linkedin.com/company/calhoun-hooper,@calhounhoope201,Brandy Murray,Artificial Intelligence,70.0
55,Green LLC,AI & Machine Learning,Adaptive learning models that evolve with changing conditions.,2010,"South Mark, Senegal",IPO,166.67,739.0,greenllc.io,https://linkedin.com/company/green-llc,@greenllc2445,Diana Bean,Computer Vision,70.0
56,King-Miller,Cybersecurity,AI copilots for incident response orchestration.,2024,"Lake Amberstad, Czech Republic",Series B,55.43,180.0,kingmiller.co,https://linkedin.com/company/king-miller,@kingmiller5004,Rachael Pearson,5G,10.0
57,Herring and Sons,EdTech,Adaptive testing adjusting difficulty dynamically.,2010,"New Elijahberg, Lebanon",Series B,,49.0,herringandsons.io,https://linkedin.com/company/herring-and-sons,@herringandso44,Kristy Robinson,Augmented Reality,120.0
58,"Scott, Wood and Obrien",EdTech,Digital twins of learners tracking long-term progress.,2022,"Port Loriport, Botswana",Series C,,235.0,scottwoodandobrien.app,https://linkedin.com/company/scott-wood-and-obrien,@scottwoodand9664,Tanya Johnston,Computer Vision,40.0
59,Sanders-Espinoza,IoT,AI-powered anomaly detection in IoT sensor networks.,2009,"New Hannahbury, Bosnia and Herzegovina",Series A,,82.0,sandersespinoza.ai,https://linkedin.com/company/sanders-espinoza,@sandersespin7196,Elizabeth Sutton,Computer Vision,20.0
60,Hogan PLC,SaaS,AI insight layers turning SaaS into decision systems.,2022,"West Amandastad, Bangladesh",,,,hoganplc.com,https://linkedin.com/company/hogan-plc,@hoganplc7079,Gloria Atkinson,Big Data,80.0
61,Garcia-Yu,Social Media,Immersive VR-based community gatherings.,2016,"Zimmermanchester, Christmas Island",Pre-Seed,1.16,9.0,garciayu.app,https://linkedin.com/company/garcia-yu,@garciayu7246,Tracie Nelson,Edge Computing,60.0
62,"Hampton, Marshall and Petersen",Blockchain,Supply chain finance optimized via blockchain settlement.,2021,"Marcusbury, Switzerland",IPO,703.12,3001.0,hamptonmarshallandpetersen.co,https://linkedin.com/company/hampton-marshall-and-petersen,@hamptonmarsh8118,Diana Hayes,Machine Learning,70.0
63,Hudson-Barnett,AI & Machine Learning,AI pipelines optimized for continuous delivery and monitoring.,2016,"Anthonymouth, Cocos (Keeling) Islands",Seed,4.86,18.0,hudsonbarnett.com,https://linkedin.com/company/hudson-barnett,@hudsonbarnet8890,Mr. David Ramirez,Cloud Computing,150.0
64,"Haynes, Hill and Smith",PropTech,Automated repair scheduling with predictive insights.,2009,"North John, Ireland",IPO,594.3,3889.0,hayneshillandsmith.app,https://linkedin.com/company/haynes-hill-and-smith,,Peter Vaughn DDS,Cloud Computing,20.0
65,West-Smith,Food Tech,ML-driven calorie tracking through food image recognition.,2008,"Jeffreybury, Gambia",Series C,41.19,567.0,westsmith.com,https://linkedin.com/company/west-smith,@westsmith7561,Jackie Tran,Deep Learning,20.0
66,Coleman-Reese,SaaS,Multi-language support for global SaaS deployment.,2023,"Michaelmouth, Faroe Islands",Series C,59.25,296.0,colemanreese.io,https://linkedin.com/company/coleman-reese,@colemanreese9821,David Griffith,Big Data,25.0
67,Wilson-Herrera,Cybersecurity,AI engines performing adversarial attack detection.,2008,"East Javier, Liberia",,,153.0,wilsonherrera.tech,https://linkedin.com/company/wilson-herrera,@wilsonherrer9502,Kevin Wolf,Blockchain,
68,"Campbell, Garcia and Lee",E-commerce,Gig-economy delivery integration into e-commerce platforms.,2022,"West Harry, American Samoa",,,97.0,campbellgarciaandlee.app,https://linkedin.com/company/campbell-garcia-and-lee,@campbellgarc3913,Beth Williams,Big Data,100.0
69,Tran Ltd,Food Tech,Nano-sensors embedded in food packaging for safety control.,2012,"Lake Miranda, Liechtenstein",Private Equity,66.66,1408.0,,https://linkedin.com/company/tran-ltd,@tranltd1645,Adam Mitchell,Cloud Computing,150.0
70,Alexander-Lopez,HealthTech,Wearable devices for chronic disease management.,2023,"West Shelleyfort, Brazil",Series A,6.77,60.0,alexanderlopez.app,https://linkedin.com/company/alexander-lopez,@alexanderlop1316,Jennifer Jones,IoT,80.0
71,"Parks, Hernandez and Shepherd",E-commerce,SaaS-native e-commerce dashboards simplifying management.,2009,"Christopherbury, British Indian Ocean Territory (Chagos Archipelago)",IPO,311.29,2654.0,parkshernandezandshepherd.io,https://linkedin.com/company/parks-hernandez-and-shepherd,@parkshernand1481,Jennifer Carlson,Augmented Reality,120.0
72,"Perez, Mills and Hayes",FinTech,Instant BNPL products optimized by AI.,2017,"Evansshire, Japan",Series A,2.83,47.0,perezmillsandhayes.ai,https://linkedin.com/company/perez-mills-and-hayes,@perezmillsan6142,Marc Lynch,Cloud Computing,120.0
73,"Garcia, Farmer and Garrett",PropTech,AR/VR virtual property tours enhancing engagement.,2010,"Donnaburgh, Dominican Republic",Series A,8.89,73.0,garciafarmerandgarrett.tech,https://linkedin.com/company/garcia-farmer-and-garrett,@garciafarmer2345,Benjamin Smith,Deep Learning,50.0
74,Norris-Harrison,AI & Machine Learning,Multi-modal AI integration for smarter enterprise systems.,2025,"East Keithport, Reunion",IPO,,3130.0,norrisharrison.tech,https://linkedin.com/company/norris-harrison,@norrisharris4902,Andrea Hall,Quantum Computing,120.0
75,French-Weber,Cybersecurity,Behavioral analytics for insider threat detection.,2015,"South Danny, Czech Republic",IPO,423.06,2718.0,frenchweber.com,https://linkedin.com/company/french-weber,,Susan Serrano,Edge Computing,60.0
76,Brown LLC,AI & Machine Learning,Cloud-native AI models accelerating enterprise adoption.,2017,"Scottmouth, Portugal",IPO,307.11,2094.0,brownllc.app,https://linkedin.com/company/brown-llc,@brownllc3116,James Nelson,Quantum Computing,60.0
77,"Snyder, Miller and Williams",Mobility,Predictive AI for air mobility eVTOL demand.,2009,"Navarroview, Anguilla",Seed,2.34,25.0,snydermillerandwilliams.io,https://linkedin.com/company/snyder-miller-and-williams,@snydermiller1477,Vernon Huff,Deep Learning,70.0
78,"Matthews, Smith and Hubbard",PropTech,Transparent maintenance histories on blockchain.,2024,"Barbaraburgh, Latvia",Series D,257.62,1044.0,matthewssmithandhubbard.co,https://linkedin.com/company/matthews-smith-and-hubbard,@matthewssmit4836,Jessica Ramirez,Big Data,80.0
79,"Graham, Olsen and Costa",PropTech,Sensor-driven fire safety systems.,2025,"Baileymouth, Gibraltar",Private Equity,405.81,,grahamolsenandcosta.tech,https://linkedin.com/company/graham-olsen-and-costa,@grahamolsena2025,Shannon Rivera,NLP,150.0
80,"Simpson, Bates and Morales",Cybersecurity,Behavioral analytics for insider threat detection.,2015,"South Christopherview, Gibraltar",Series D,204.89,535.0,simpsonbatesandmorales.tech,https://linkedin.com/company/simpson-bates-and-morales,@simpsonbates3627,Raymond Hancock,Edge Computing,15.0
81,Sandoval PLC,Social Media,Predictive algorithms surfacing relevant conversations.,2009,"Gutierrezborough, Maldives",Seed,1.7,5.0,sandovalplc.io,https://linkedin.com/company/sandoval-plc,@sandovalplc8808,Peter Garrett,IoT,25.0
82,Harris PLC,Food Tech,Consumer-to-farm digital feedback loops improving crops.,2012,"West Samuel, Qatar",Private Equity,344.71,1460.0,harrisplc.co,https://linkedin.com/company/harris-plc,@harrisplc4584,Mr. Mark Lloyd,Big Data,10.0
83,"Moore, Pierce and Tran",EdTech,Data-driven insights guiding personalized lesson planning.,2019,"East Victoriaville, Kyrgyz Republic",Series D,294.46,607.0,moorepierceandtran.ai,https://linkedin.com/company/moore-pierce-and-tran,@moorepiercea3110,Maria Moore,Edge Computing,20.0
84,"Carter, Thornton and Perry",EdTech,Interactive classrooms powered by real-time insights.,2018,"Bairdbury, Korea",Pre-Seed,0.23,2.0,carterthorntonandperry.tech,https://linkedin.com/company/carter-thornton-and-perry,@carterthornt3395,Janet Weeks,Augmented Reality,40.0
85,"Francis, Taylor and Jones",PropTech,Climate-resilient design simulated with AI tools.,2012,"Morganhaven, Ethiopia",Pre-Seed,0.83,2.0,francistaylorandjones.app,https://linkedin.com/company/francis-taylor-and-jones,,Diane Evans,Quantum Computing,25.0
86,"Carpenter, Keller and Grimes",E-commerce,Smart returns management reducing operational costs.,2009,"Ryanstad, Grenada",Series A,,24.0,carpenterkellerandgrimes.app,https://linkedin.com/company/carpenter-keller-and-grimes,@carpenterkel1042,Kimberly Gibson,Artificial Intelligence,
87,Kane-Pollard,Blockchain,Blockchain-enabled invoice factoring with real-time validation.,2009,"New Patrick, Togo",Series B,55.44,107.0,kanepollard.co,https://linkedin.com/company/kane-pollard,@kanepollard511,Amanda Garner,Big Data,10.0
88,"Mcintyre, James and Mcneil",FinTech,AI-driven fraud detection for secure transactions.,2010,"South Tammie, Brunei Darussalam",IPO,233.5,,mcintyrejamesandmcneil.tech,https://linkedin.com/company/mcintyre-james-and-mcneil,@mcintyrejame9591,Leslie Kane,Cloud Computing,80.0
89,Garcia-Lozano,CleanTech,Blockchain for transparent carbon credit trading.,2011,"Lake Douglasberg, Belarus",Private Equity,342.91,1676.0,garcialozano.io,https://linkedin.com/company/garcia-lozano,@garcialozano7047,Wayne Morgan,5G,150.0
90,"Sanders, Miller and Murphy",Cybersecurity,Zero-day exploit defense powered by ML predictions.,2021,"Finleyfort, Tunisia",Seed,1.46,23.0,sandersmillerandmurphy.co,https://linkedin.com/company/sanders-miller-and-murphy,@sandersmille1100,Lisa Young,IoT,15.0
91,"Mccall, Bright and Francis",Food Tech,ML-driven calorie tracking through food image recognition.,2009,"Goodville, Kenya",Series A,12.11,25.0,mccallbrightandfrancis.co,https://linkedin.com/company/mccall-bright-and-francis,@mccallbright5794,Elijah Johnson,Blockchain,120.0
92,Flynn-Carter,Gaming,Cross-platform progression with unified accounts.,2024,"Ryanbury, Marshall Islands",Series D,214.18,310.0,flynncarter.ai,https://linkedin.com/company/flynn-carter,@flynncarter9114,Michael White,Computer Vision,90.0
93,Miller Group,Cybersecurity,AI copilots for incident response orchestration.,2025,"South Roberta, Cambodia",,,,millergroup.app,https://linkedin.com/company/miller-group,@millergroup4382,Mark Stevens,Edge Computing,5.0
94,"Smith, Ballard and Santana",E-commerce,AI logistics optimization ensuring seamless last-mile delivery.,2012,"North Scott, Guatemala",Pre-Seed,0.63,,smithballardandsantana.app,https://linkedin.com/company/smith-ballard-and-santana,@smithballard503,Elizabeth Hayden DDS,Blockchain,15.0
95,Bruce-Gonzalez,E-commerce,Crypto-enabled payments for borderless transactions.,2018,"Castanedaville, Dominica",Series D,191.9,,brucegonzalez.com,https://linkedin.com/company/bruce-gonzalez,@brucegonzale2550,Ian Phillips,Deep Learning,30.0
96,"Phillips, Spence and Barrett",Blockchain,On-chain royalties ensuring fair creator compensation.,2022,"Alanton, United States Minor Outlying Islands",Private Equity,147.01,906.0,phillipsspenceandbarrett.co,https://linkedin.com/company/phillips-spence-and-barrett,@phillipsspen1817,Kathleen Strong,Augmented Reality,70.0
97,Parsons-Hall,SaaS,Low-latency APIs optimizing SaaS integrations at scale.,2009,"Jefferyborough, Niger",Series B,,84.0,parsonshall.io,,@parsonshall4187,Perry Saunders,Artificial Intelligence,70.0
98,"Massey, Fuller and Berger",HealthTech,Gamified wellness apps promoting healthier habits.,2015,"West Kristinaton, Mozambique",Private Equity,425.01,347.0,masseyfullerandberger.co,https://linkedin.com/company/massey-fuller-and-berger,,Carlos Browning,Deep Learning,120.0
99,Burgess-Thompson,Gaming,Esports talent scouting via performance AI analytics.,2021,"Port Amber, Haiti",Private Equity,232.26,551.0,burgessthompson.tech,https://linkedin.com/company/burgess-thompson,@burgessthomp7539,Susan Rivas,IoT,90.0
100,Sloan-Raymond,Gaming,AI-driven matchmaking systems ensuring balanced play.,2020,"Juliemouth, Spain",,,174.0,sloanraymond.io,https://linkedin.com/company/sloan-raymond,@sloanraymond5457,Victor Taylor,IoT,30.0
101,Dalton Ltd,EdTech,Automated attendance tracking with facial recognition.,2012,"Coffeyside, Haiti",Series D,86.61,816.0,daltonltd.io,https://linkedin.com/company/dalton-ltd,@daltonltd1235,James Baker,Quantum Computing,30.0
102,Gibson Ltd,Gaming,Collaborative sandbox games with modular design.,2018,"Brendastad, Botswana",IPO,664.5,859.0,gibsonltd.co,https://linkedin.com/company/gibson-ltd,@gibsonltd7246,Kaitlyn Harvey,Cybersecurity,70.0
103,"Murphy, Bishop and Holland",FinTech,Invisible payments enhancing retail experiences.,2009,"Blankenshipport, Pakistan",IPO,,928.0,murphybishopandholland.app,https://linkedin.com/company/murphy-bishop-and-holland,@murphybishop1480,Charles Shah,Computer Vision,100.0
104,Ferrell-Wilson,IoT,Intelligent IoT orchestration platforms for enterprises.,2014,"New Derek, Korea",IPO,528.07,806.0,ferrellwilson.co,https://linkedin.com/company/ferrell-wilson,@ferrellwilso1696,Travis Horton,Artificial Intelligence,80.0
105,"Barnes, Newton and Moore",AI & Machine Learning,Interactive ML models that enhance user engagement.,2024,"Penafort, Nicaragua",IPO,242.87,2617.0,barnesnewtonandmoore.co,https://linkedin.com/company/barnes-newton-and-moore,@barnesnewton6698,Trevor Johnson,NLP,80.0
106,Robinson-Wallace,E-commerce,Dynamic pricing algorithms maximizing revenue and competitiveness.,2025,"Port Michael, Poland",Series D,121.04,872.0,robinsonwallace.tech,https://linkedin.com/company/robinson-wallace,@robinsonwall2464,Steven Newman,Machine Learning,80.0
107,Sanders and Sons,SaaS,Multi-cloud compatible SaaS delivering deployment freedom.,2010,"Port Madisonland, Panama",Private Equity,219.51,1865.0,sandersandsons.io,https://linkedin.com/company/sanders-and-sons,@sandersandso8625,Mark Maddox,Augmented Reality,15.0
108,Buchanan and Sons,E-commerce,Customer loyalty engines driven by predictive analytics.,2018,"Port Anne, Bangladesh",Series A,10.75,27.0,buchananandsons.io,https://linkedin.com/company/buchanan-and-sons,@buchananands1265,Kristen Willis,Computer Vision,70.0
