job_title,country,city,salary,currency,years_experience,skills,tools_models,work_mode,company_size,industry,year,education,gender,job_demand_index,source
Data Scientist,Australia,Brisbane,201000,AUD,8,"SQL, Statistics, Scikit-learn","RandomForest, XGBoost",Onsite,Medium,Consulting,2020,PhD,Male,72,Synthetic approximation based on public salary reports
Data Scientist,India,Noida,2008000,INR,14,"Statistics, Scikit-learn, SQL","LightGBM, XGBoost",Hybrid,Medium,Healthcare,2023,Diploma,Male,78,Synthetic approximation based on public salary reports
Prompt Engineer,Netherlands,Rotterdam,104650,EUR,1,"Evaluation, A/B Testing, Prompt Engineering","Gemini, Claude",Remote,Startup,Finance,2022,Masters,Female,58,Synthetic approximation based on public salary reports
LLM Researcher,India,Gurugram,1355900,INR,2,"Reinforcement Learning, Transformers, Deep Learning","DeepSpeed, Mistral",Remote,Startup,Finance,2022,Bachelors,Prefer not to say,58,Synthetic approximation based on public salary reports
Data Scientist,India,Bengaluru,2408000,INR,11,"Pandas, Statistics, SQL","XGBoost, LightGBM",Hybrid,Startup,Healthcare,2024,Diploma,Non-binary,86,Synthetic approximation based on public salary reports
LLM Researcher,Singapore,Singapore,243100,SGD,15,"Distributed Training, Reinforcement Learning, Transformers","Mistral, Custom LLM",Onsite,Startup,Education,2022,Masters,Female,62,Synthetic approximation based on public salary reports
LLM Researcher,United Kingdom,Edinburgh,72800,GBP,1,"PyTorch, Transformers, Reinforcement Learning","Llama 3, Mistral",Hybrid,Startup,Education,2022,Bachelors,Non-binary,60,Synthetic approximation based on public salary reports
Generative AI Engineer,Germany,Munich,171250,EUR,14,"Python, RAG, Vector Databases","LangChain, Stable Diffusion",Hybrid,Startup,Technology,2023,PhD,Male,80,Synthetic approximation based on public salary reports
Generative AI Engineer,Singapore,Singapore,176250,SGD,8,"Transformers, PyTorch, RAG","LangChain, Stable Diffusion",Remote,Startup,E-commerce,2022,PhD,Male,71,Synthetic approximation based on public salary reports
Generative AI Engineer,Canada,Toronto,171250,CAD,9,"PyTorch, RAG, Transformers","GPT-4, Stable Diffusion",Onsite,Startup,Finance,2025,Masters,Prefer not to say,89,Synthetic approximation based on public salary reports
Generative AI Engineer,United Kingdom,Cambridge,107500,GBP,11,"PyTorch, Vector Databases, LangChain","LangChain, Stable Diffusion",Remote,Startup,Finance,2020,Diploma,Prefer not to say,56,Synthetic approximation based on public salary reports
Generative AI Engineer,United Kingdom,Manchester,121250,GBP,15,"PyTorch, Vector Databases, Transformers","LangChain, GPT-4",Remote,Startup,Finance,2020,Diploma,Non-binary,61,Synthetic approximation based on public salary reports
Generative AI Engineer,United Kingdom,Edinburgh,112500,GBP,12,"LangChain, RAG, Transformers","Stable Diffusion, LangChain",Remote,Medium,Consulting,2022,Bachelors,Male,66,Synthetic approximation based on public salary reports
Machine Learning Engineer,Germany,Berlin,111100,EUR,4,"Python, Kubernetes, TensorFlow","ONNX, TensorFlow",Onsite,Startup,Education,2020,Diploma,Male,77,Synthetic approximation based on public salary reports
Data Scientist,United States,San Francisco,216000,USD,5,"Scikit-learn, Pandas, NumPy","RandomForest, LightGBM",Remote,Medium,Healthcare,2021,Diploma,Non-binary,75,Synthetic approximation based on public salary reports
LLM Researcher,France,Paris,93600,EUR,1,"Transformers, PyTorch, Reinforcement Learning","Mistral, DeepSpeed",Hybrid,Startup,E-commerce,2023,Masters,Prefer not to say,75,Synthetic approximation based on public salary reports
Data Scientist,Germany,Frankfurt,150000,EUR,14,"Scikit-learn, Statistics, NumPy","XGBoost, RandomForest",Hybrid,Startup,E-commerce,2021,Bachelors,Prefer not to say,77,Synthetic approximation based on public salary reports
Machine Learning Engineer,Singapore,Singapore,200200,SGD,9,"TensorFlow, Kubernetes, PyTorch","ONNX, TensorFlow",Hybrid,Large,Education,2021,PhD,Prefer not to say,83,Synthetic approximation based on public salary reports
Data Scientist,Germany,Munich,111000,EUR,6,"NumPy, SQL, Scikit-learn","LightGBM, RandomForest",Hybrid,Medium,Technology,2021,PhD,Prefer not to say,76,Synthetic approximation based on public salary reports
Generative AI Engineer,France,Lyon,158750,EUR,15,"PyTorch, Vector Databases, Transformers","LangChain, Stable Diffusion",Remote,Startup,Consulting,2021,Masters,Non-binary,61,Synthetic approximation based on public salary reports
Machine Learning Engineer,Germany,Frankfurt,147400,EUR,10,"MLflow, Kubernetes, PyTorch","ONNX, PyTorch",Onsite,Startup,Education,2022,Bachelors,Male,86,Synthetic approximation based on public salary reports
Generative AI Engineer,Canada,Vancouver,148750,CAD,9,"RAG, Vector Databases, Python","GPT-4, Llama 3",Hybrid,Large,Education,2022,Diploma,Prefer not to say,70,Synthetic approximation based on public salary reports
Generative AI Engineer,Germany,Berlin,118750,EUR,0,"LangChain, PyTorch, Python","Llama 3, Stable Diffusion",Onsite,Large,Finance,2021,PhD,Non-binary,69,Synthetic approximation based on public salary reports
LLM Researcher,Canada,Ottawa,100100,CAD,0,"Deep Learning, Transformers, Distributed Training","Llama 3, Custom LLM",Onsite,Startup,Consulting,2025,Bachelors,Prefer not to say,83,Synthetic approximation based on public salary reports
Prompt Engineer,India,Gurugram,2050450,INR,9,"LLMs, Evaluation, Python","GPT-4, Gemini",Onsite,Large,Healthcare,2022,Bachelors,Female,56,Synthetic approximation based on public salary reports
Machine Learning Engineer,Germany,Munich,105600,EUR,9,"MLflow, Docker, Kubernetes","TensorFlow, PyTorch",Hybrid,Large,Education,2020,Diploma,Non-binary,71,Synthetic approximation based on public salary reports
Data Scientist,United States,New York,220000,USD,9,"Pandas, Scikit-learn, SQL","XGBoost, LightGBM",Hybrid,Startup,Finance,2021,Bachelors,Prefer not to say,72,Synthetic approximation based on public salary reports
Data Scientist,France,Marseille,88000,EUR,1,"Statistics, NumPy, Scikit-learn","LightGBM, RandomForest",Hybrid,Medium,Finance,2023,Bachelors,Non-binary,87,Synthetic approximation based on public salary reports
Machine Learning Engineer,UAE,Dubai,440000,AED,7,"Docker, PyTorch, Kubernetes","TensorFlow, PyTorch",Remote,Large,Consulting,2022,Diploma,Male,80,Synthetic approximation based on public salary reports
Generative AI Engineer,United States,Austin,288750,USD,7,"PyTorch, Vector Databases, Transformers","GPT-4, LangChain",Remote,Medium,Finance,2024,Diploma,Female,94,Synthetic approximation based on public salary reports
Machine Learning Engineer,Canada,Vancouver,124300,CAD,10,"Kubernetes, MLflow, Docker","PyTorch, ONNX",Hybrid,Medium,E-commerce,2020,Bachelors,Male,70,Synthetic approximation based on public salary reports
Data Scientist,Canada,Vancouver,139000,CAD,11,"Python, SQL, Pandas","XGBoost, LightGBM",Onsite,Medium,Healthcare,2020,PhD,Female,73,Synthetic approximation based on public salary reports
Prompt Engineer,United States,Boston,151800,USD,2,"Python, A/B Testing, LLMs","GPT-4, Gemini",Onsite,Medium,Healthcare,2023,Bachelors,Female,69,Synthetic approximation based on public salary reports
Machine Learning Engineer,India,Noida,3039300,INR,14,"PyTorch, MLflow, Python","PyTorch, TensorFlow",Remote,Medium,Finance,2025,PhD,Non-binary,97,Synthetic approximation based on public salary reports
Machine Learning Engineer,Canada,Ottawa,193600,CAD,12,"TensorFlow, Kubernetes, Docker","ONNX, PyTorch",Onsite,Startup,Technology,2022,Bachelors,Prefer not to say,83,Synthetic approximation based on public salary reports
Generative AI Engineer,France,Marseille,146250,EUR,9,"Transformers, LangChain, RAG","Stable Diffusion, LangChain",Remote,Startup,Consulting,2025,Masters,Prefer not to say,100,Synthetic approximation based on public salary reports
Data Scientist,Canada,Montreal,176000,CAD,14,"Python, Pandas, Scikit-learn","RandomForest, LightGBM",Remote,Large,E-commerce,2024,Diploma,Prefer not to say,83,Synthetic approximation based on public salary reports
Machine Learning Engineer,United States,San Francisco,227700,USD,4,"TensorFlow, PyTorch, MLflow","TensorFlow, ONNX",Remote,Medium,Technology,2024,Bachelors,Male,95,Synthetic approximation based on public salary reports
Data Scientist,Australia,Sydney,78000,AUD,0,"Python, Scikit-learn, Pandas","LightGBM, RandomForest",Onsite,Startup,Finance,2021,Diploma,Female,77,Synthetic approximation based on public salary reports
Machine Learning Engineer,Canada,Ottawa,136400,CAD,7,"Kubernetes, Python, TensorFlow","PyTorch, ONNX",Hybrid,Startup,Healthcare,2024,Diploma,Male,93,Synthetic approximation based on public salary reports
LLM Researcher,Canada,Vancouver,254800,CAD,11,"Reinforcement Learning, Transformers, Distributed Training","DeepSpeed, Llama 3",Remote,Large,Consulting,2021,Diploma,Non-binary,56,Synthetic approximation based on public salary reports
Data Scientist,Canada,Ottawa,178000,CAD,15,"Statistics, Python, Scikit-learn","LightGBM, XGBoost",Hybrid,Medium,Education,2020,PhD,Male,68,Synthetic approximation based on public salary reports
Machine Learning Engineer,UAE,Abu Dhabi,374000,AED,11,"Kubernetes, Python, TensorFlow","PyTorch, TensorFlow",Remote,Medium,Technology,2025,Masters,Male,100,Synthetic approximation based on public salary reports
Data Scientist,Canada,Toronto,164000,CAD,8,"SQL, Pandas, Scikit-learn","XGBoost, RandomForest",Hybrid,Startup,Healthcare,2020,Diploma,Non-binary,67,Synthetic approximation based on public salary reports
Machine Learning Engineer,India,Gurugram,1362900,INR,4,"TensorFlow, PyTorch, Kubernetes","ONNX, TensorFlow",Hybrid,Startup,Finance,2024,Diploma,Female,87,Synthetic approximation based on public salary reports
Machine Learning Engineer,United States,Austin,305800,USD,12,"PyTorch, MLflow, Python","TensorFlow, PyTorch",Remote,Large,Technology,2023,Bachelors,Male,81,Synthetic approximation based on public salary reports
Data Scientist,United States,San Francisco,209000,USD,13,"SQL, Pandas, Statistics","RandomForest, XGBoost",Remote,Startup,Education,2025,Masters,Non-binary,99,Synthetic approximation based on public salary reports
Prompt Engineer,United States,Austin,251850,USD,9,"A/B Testing, Evaluation, LLMs","Claude, Llama 3",Hybrid,Large,Healthcare,2020,PhD,Female,52,Synthetic approximation based on public salary reports
LLM Researcher,United States,New York,214500,USD,11,"PyTorch, Reinforcement Learning, Distributed Training","Custom LLM, Llama 3",Hybrid,Startup,Education,2020,Bachelors,Prefer not to say,54,Synthetic approximation based on public salary reports
Machine Learning Engineer,Canada,Toronto,110000,CAD,7,"Docker, Kubernetes, MLflow","PyTorch, ONNX",Remote,Medium,Healthcare,2024,Diploma,Non-binary,95,Synthetic approximation based on public salary reports
Generative AI Engineer,Germany,Frankfurt,170000,EUR,8,"Vector Databases, LangChain, RAG","Stable Diffusion, Llama 3",Onsite,Large,Consulting,2020,Bachelors,Non-binary,59,Synthetic approximation based on public salary reports
Machine Learning Engineer,Singapore,Singapore,137500,SGD,9,"Python, MLflow, TensorFlow","ONNX, TensorFlow",Remote,Startup,Education,2024,Masters,Non-binary,95,Synthetic approximation based on public salary reports
Prompt Engineer,Netherlands,Rotterdam,126500,EUR,7,"Prompt Engineering, LLMs, Evaluation","GPT-4, Gemini",Onsite,Large,Finance,2023,Masters,Non-binary,76,Synthetic approximation based on public salary reports
Generative AI Engineer,Australia,Melbourne,231250,AUD,11,"PyTorch, Vector Databases, RAG","LangChain, GPT-4",Remote,Large,Finance,2023,Bachelors,Male,76,Synthetic approximation based on public salary reports
Machine Learning Engineer,UAE,Sharjah,415800,AED,8,"MLflow, Kubernetes, TensorFlow","ONNX, PyTorch",Onsite,Large,Consulting,2024,Masters,Male,91,Synthetic approximation based on public salary reports
Data Scientist,Netherlands,Eindhoven,112000,EUR,10,"Statistics, SQL, Scikit-learn","RandomForest, XGBoost",Remote,Large,Finance,2022,Diploma,Female,76,Synthetic approximation based on public salary reports
Prompt Engineer,United Kingdom,Manchester,118450,GBP,14,"A/B Testing, Python, Prompt Engineering","Gemini, GPT-4",Remote,Large,Education,2021,Diploma,Female,59,Synthetic approximation based on public salary reports
Generative AI Engineer,Australia,Brisbane,222500,AUD,10,"Transformers, Vector Databases, Python","Stable Diffusion, Llama 3",Onsite,Startup,Consulting,2021,PhD,Non-binary,64,Synthetic approximation based on public salary reports
LLM Researcher,India,Noida,2122900,INR,2,"Transformers, Distributed Training, PyTorch","Custom LLM, Llama 3",Onsite,Startup,Healthcare,2023,Masters,Non-binary,83,Synthetic approximation based on public salary reports
Machine Learning Engineer,Australia,Sydney,222200,AUD,12,"PyTorch, Docker, Python","ONNX, PyTorch",Remote,Startup,Healthcare,2023,Bachelors,Female,85,Synthetic approximation based on public salary reports
Generative AI Engineer,United Kingdom,Cambridge,112500,GBP,5,"Vector Databases, Transformers, LangChain","Llama 3, LangChain",Remote,Large,Consulting,2020,Masters,Prefer not to say,58,Synthetic approximation based on public salary reports
Machine Learning Engineer,UAE,Dubai,478500,AED,9,"Docker, Python, TensorFlow","ONNX, TensorFlow",Remote,Startup,Consulting,2024,PhD,Prefer not to say,86,Synthetic approximation based on public salary reports
Data Scientist,Singapore,Singapore,159000,SGD,12,"Python, NumPy, Pandas","RandomForest, LightGBM",Remote,Startup,E-commerce,2023,Masters,Non-binary,79,Synthetic approximation based on public salary reports
Data Scientist,Australia,Sydney,159000,AUD,8,"Scikit-learn, Statistics, Python","LightGBM, XGBoost",Onsite,Startup,Consulting,2022,Bachelors,Male,79,Synthetic approximation based on public salary reports
LLM Researcher,United States,Boston,270400,USD,5,"Distributed Training, Transformers, Deep Learning","Custom LLM, Llama 3",Onsite,Large,Consulting,2020,Bachelors,Male,56,Synthetic approximation based on public salary reports
Data Scientist,Germany,Frankfurt,116000,EUR,4,"Pandas, Scikit-learn, NumPy","XGBoost, RandomForest",Remote,Startup,Technology,2025,Bachelors,Male,88,Synthetic approximation based on public salary reports
Data Scientist,Germany,Munich,111000,EUR,5,"SQL, Pandas, Python","LightGBM, RandomForest",Hybrid,Startup,Education,2021,Bachelors,Prefer not to say,77,Synthetic approximation based on public salary reports
LLM Researcher,United Kingdom,Edinburgh,149500,GBP,11,"PyTorch, Transformers, Deep Learning","DeepSpeed, Llama 3",Onsite,Medium,Healthcare,2020,Diploma,Prefer not to say,52,Synthetic approximation based on public salary reports
Data Scientist,Netherlands,Eindhoven,140000,EUR,15,"Scikit-learn, NumPy, Pandas","XGBoost, RandomForest",Remote,Medium,Technology,2024,Bachelors,Male,93,Synthetic approximation based on public salary reports
Machine Learning Engineer,Australia,Sydney,223300,AUD,11,"Kubernetes, TensorFlow, Docker","PyTorch, ONNX",Hybrid,Startup,Healthcare,2024,Diploma,Prefer not to say,91,Synthetic approximation based on public salary reports
Machine Learning Engineer,Australia,Brisbane,129800,AUD,7,"Docker, Python, PyTorch","PyTorch, TensorFlow",Onsite,Large,Consulting,2025,Diploma,Prefer not to say,99,Synthetic approximation based on public salary reports
LLM Researcher,Netherlands,Rotterdam,111800,EUR,2,"Reinforcement Learning, Transformers, PyTorch","Llama 3, DeepSpeed",Hybrid,Medium,Education,2024,Diploma,Female,78,Synthetic approximation based on public salary reports
Data Scientist,Singapore,Singapore,109000,SGD,7,"Pandas, Python, Scikit-learn","XGBoost, LightGBM",Onsite,Startup,Finance,2023,PhD,Male,87,Synthetic approximation based on public salary reports
Data Scientist,Germany,Munich,124000,EUR,8,"NumPy, Scikit-learn, Statistics","RandomForest, LightGBM",Remote,Startup,Finance,2020,Diploma,Prefer not to say,73,Synthetic approximation based on public salary reports
Machine Learning Engineer,Australia,Melbourne,117700,AUD,1,"MLflow, PyTorch, Python","TensorFlow, ONNX",Onsite,Large,Technology,2020,Masters,Prefer not to say,78,Synthetic approximation based on public salary reports
Generative AI Engineer,India,Noida,1548750,INR,5,"LangChain, Python, Transformers","Stable Diffusion, LangChain",Onsite,Medium,E-commerce,2023,Diploma,Non-binary,83,Synthetic approximation based on public salary reports
Data Scientist,Australia,Brisbane,172000,AUD,7,"NumPy, Python, Statistics","RandomForest, LightGBM",Hybrid,Medium,Healthcare,2023,Diploma,Prefer not to say,84,Synthetic approximation based on public salary reports
Data Scientist,India,Noida,1166000,INR,4,"Scikit-learn, Statistics, Python","RandomForest, LightGBM",Hybrid,Large,E-commerce,2022,Diploma,Non-binary,78,Synthetic approximation based on public salary reports
LLM Researcher,Canada,Toronto,247000,CAD,10,"Deep Learning, Reinforcement Learning, PyTorch","Custom LLM, Mistral",Hybrid,Startup,Healthcare,2025,Bachelors,Male,88,Synthetic approximation based on public salary reports
Prompt Engineer,United Kingdom,London,90850,GBP,4,"Python, Evaluation, A/B Testing","Claude, Llama 3",Onsite,Medium,Consulting,2025,PhD,Female,91,Synthetic approximation based on public salary reports
Machine Learning Engineer,Singapore,Singapore,110000,SGD,1,"PyTorch, MLflow, Docker","ONNX, PyTorch",Hybrid,Startup,Healthcare,2021,Bachelors,Female,81,Synthetic approximation based on public salary reports
LLM Researcher,India,Hyderabad,2230800,INR,2,"Reinforcement Learning, PyTorch, Deep Learning","Custom LLM, Llama 3",Onsite,Large,Finance,2022,Masters,Male,66,Synthetic approximation based on public salary reports
Generative AI Engineer,Australia,Brisbane,155000,AUD,5,"LangChain, Transformers, Vector Databases","Stable Diffusion, Llama 3",Hybrid,Startup,Consulting,2022,Bachelors,Female,71,Synthetic approximation based on public salary reports
Generative AI Engineer,Australia,Sydney,113750,AUD,1,"Python, RAG, Vector Databases","GPT-4, LangChain",Remote,Medium,Finance,2020,Bachelors,Male,57,Synthetic approximation based on public salary reports
LLM Researcher,Australia,Brisbane,123500,AUD,2,"Distributed Training, Reinforcement Learning, PyTorch","DeepSpeed, Mistral",Hybrid,Large,Consulting,2020,Bachelors,Prefer not to say,59,Synthetic approximation based on public salary reports
Data Scientist,Germany,Frankfurt,136000,EUR,13,"NumPy, Pandas, Statistics","LightGBM, XGBoost",Remote,Medium,E-commerce,2023,Diploma,Non-binary,88,Synthetic approximation based on public salary reports
Generative AI Engineer,Singapore,Singapore,191250,SGD,10,"PyTorch, Vector Databases, RAG","Stable Diffusion, Llama 3",Remote,Medium,Education,2025,Masters,Male,99,Synthetic approximation based on public salary reports
Generative AI Engineer,Canada,Toronto,220000,CAD,12,"Python, Vector Databases, LangChain","Stable Diffusion, GPT-4",Hybrid,Medium,Education,2024,Bachelors,Prefer not to say,87,Synthetic approximation based on public salary reports
LLM Researcher,Netherlands,Amsterdam,139100,EUR,15,"Reinforcement Learning, PyTorch, Distributed Training","DeepSpeed, Llama 3",Remote,Medium,Healthcare,2023,Diploma,Prefer not to say,73,Synthetic approximation based on public salary reports
Generative AI Engineer,United States,New York,366250,USD,14,"LangChain, PyTorch, Vector Databases","LangChain, Llama 3",Onsite,Startup,Finance,2020,PhD,Non-binary,62,Synthetic approximation based on public salary reports
Data Scientist,Canada,Vancouver,181000,CAD,10,"NumPy, Scikit-learn, SQL","XGBoost, RandomForest",Hybrid,Large,E-commerce,2020,Masters,Prefer not to say,70,Synthetic approximation based on public salary reports
LLM Researcher,Singapore,Singapore,192400,SGD,7,"PyTorch, Reinforcement Learning, Transformers","Llama 3, DeepSpeed",Remote,Large,Technology,2021,Masters,Prefer not to say,56,Synthetic approximation based on public salary reports
Prompt Engineer,UAE,Abu Dhabi,304750,AED,1,"Python, LLMs, Prompt Engineering","GPT-4, Gemini",Onsite,Large,Finance,2023,Masters,Male,70,Synthetic approximation based on public salary reports
LLM Researcher,India,Hyderabad,2770300,INR,7,"PyTorch, Transformers, Reinforcement Learning","Llama 3, DeepSpeed",Remote,Medium,Technology,2021,Diploma,Non-binary,59,Synthetic approximation based on public salary reports
Prompt Engineer,United States,New York,223100,USD,3,"Prompt Engineering, A/B Testing, Python","GPT-4, Llama 3",Onsite,Startup,Technology,2024,Masters,Prefer not to say,75,Synthetic approximation based on public salary reports
Machine Learning Engineer,Singapore,Singapore,213400,SGD,10,"Python, TensorFlow, Docker","TensorFlow, PyTorch",Hybrid,Large,E-commerce,2025,Bachelors,Female,97,Synthetic approximation based on public salary reports
Prompt Engineer,France,Lyon,154100,EUR,11,"Evaluation, Python, A/B Testing","Claude, Llama 3",Hybrid,Startup,Healthcare,2025,Bachelors,Prefer not to say,79,Synthetic approximation based on public salary reports
Machine Learning Engineer,India,Gurugram,1360700,INR,1,"Kubernetes, TensorFlow, Python","PyTorch, TensorFlow",Remote,Medium,Education,2025,Bachelors,Female,100,Synthetic approximation based on public salary reports
Generative AI Engineer,UAE,Sharjah,413750,AED,3,"Transformers, RAG, Vector Databases","GPT-4, Llama 3",Remote,Large,Consulting,2025,Masters,Female,99,Synthetic approximation based on public salary reports
Prompt Engineer,United States,New York,207000,USD,11,"Python, Evaluation, A/B Testing","Llama 3, Claude",Onsite,Large,Finance,2025,Bachelors,Prefer not to say,85,Synthetic approximation based on public salary reports
Generative AI Engineer,Germany,Frankfurt,95000,EUR,0,"Vector Databases, Python, PyTorch","Llama 3, Stable Diffusion",Remote,Medium,Consulting,2020,PhD,Male,64,Synthetic approximation based on public salary reports
Generative AI Engineer,Netherlands,Amsterdam,195000,EUR,12,"Vector Databases, LangChain, Transformers","LangChain, Stable Diffusion",Onsite,Large,Healthcare,2021,Diploma,Prefer not to say,67,Synthetic approximation based on public salary reports
Generative AI Engineer,India,Noida,1873750,INR,11,"RAG, Transformers, Vector Databases","Stable Diffusion, LangChain",Hybrid,Large,Technology,2021,Bachelors,Prefer not to say,63,Synthetic approximation based on public salary reports
Generative AI Engineer,Singapore,Singapore,160000,SGD,10,"Python, RAG, PyTorch","LangChain, GPT-4",Remote,Medium,Education,2024,PhD,Non-binary,85,Synthetic approximation based on public salary reports
Prompt Engineer,France,Marseille,138000,EUR,7,"Prompt Engineering, A/B Testing, LLMs","Llama 3, Gemini",Hybrid,Startup,E-commerce,2023,Bachelors,Non-binary,77,Synthetic approximation based on public salary reports
LLM Researcher,Germany,Munich,141700,EUR,5,"PyTorch, Distributed Training, Deep Learning","Mistral, DeepSpeed",Hybrid,Medium,Consulting,2021,Bachelors,Non-binary,57,Synthetic approximation based on public salary reports
Prompt Engineer,Singapore,Singapore,197800,SGD,6,"LLMs, Prompt Engineering, Python","Gemini, Llama 3",Onsite,Large,Consulting,2022,Diploma,Prefer not to say,56,Synthetic approximation based on public salary reports
LLM Researcher,India,Noida,3105700,INR,15,"Reinforcement Learning, Distributed Training, Transformers","DeepSpeed, Mistral",Hybrid,Startup,Healthcare,2025,Bachelors,Non-binary,87,Synthetic approximation based on public salary reports
Prompt Engineer,Australia,Sydney,151800,AUD,6,"Python, LLMs, A/B Testing","Gemini, Claude",Remote,Startup,Consulting,2022,Bachelors,Male,61,Synthetic approximation based on public salary reports
Generative AI Engineer,Netherlands,Eindhoven,143750,EUR,13,"PyTorch, RAG, LangChain","GPT-4, Stable Diffusion",Onsite,Startup,Finance,2024,Masters,Prefer not to say,88,Synthetic approximation based on public salary reports
LLM Researcher,Australia,Melbourne,180700,AUD,2,"Deep Learning, PyTorch, Reinforcement Learning","Mistral, DeepSpeed",Remote,Medium,Education,2020,PhD,Prefer not to say,50,Synthetic approximation based on public salary reports
LLM Researcher,Singapore,Singapore,275600,SGD,14,"Transformers, Reinforcement Learning, Deep Learning","DeepSpeed, Llama 3",Onsite,Medium,Finance,2024,Bachelors,Male,80,Synthetic approximation based on public salary reports
Data Scientist,Singapore,Singapore,217000,SGD,14,"Pandas, NumPy, Statistics","RandomForest, XGBoost",Onsite,Medium,Technology,2020,PhD,Non-binary,73,Synthetic approximation based on public salary reports
Generative AI Engineer,Netherlands,Rotterdam,146250,EUR,6,"Python, RAG, Vector Databases","GPT-4, Stable Diffusion",Remote,Startup,Finance,2021,Bachelors,Female,69,Synthetic approximation based on public salary reports
LLM Researcher,Netherlands,Amsterdam,140400,EUR,6,"Reinforcement Learning, PyTorch, Transformers","Llama 3, Custom LLM",Onsite,Medium,Healthcare,2020,Masters,Male,51,Synthetic approximation based on public salary reports
Machine Learning Engineer,Australia,Sydney,124300,AUD,1,"Docker, MLflow, PyTorch","TensorFlow, ONNX",Onsite,Large,Education,2022,PhD,Male,88,Synthetic approximation based on public salary reports
Machine Learning Engineer,Australia,Brisbane,155100,AUD,12,"Kubernetes, MLflow, TensorFlow","ONNX, PyTorch",Onsite,Large,E-commerce,2021,Masters,Non-binary,76,Synthetic approximation based on public salary reports
Data Scientist,France,Marseille,139000,EUR,8,"Statistics, Python, Pandas","RandomForest, LightGBM",Remote,Medium,Finance,2023,PhD,Male,83,Synthetic approximation based on public salary reports
LLM Researcher,Australia,Sydney,174200,AUD,12,"Distributed Training, Transformers, Reinforcement Learning","DeepSpeed, Custom LLM",Hybrid,Medium,Technology,2022,Bachelors,Male,59,Synthetic approximation based on public salary reports
Data Scientist,Singapore,Singapore,102000,SGD,6,"Statistics, Python, Pandas","XGBoost, LightGBM",Onsite,Startup,E-commerce,2022,Masters,Non-binary,76,Synthetic approximation based on public salary reports
